PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=82.9 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=51.1 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=78.4 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=72.7 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=59.0 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=57.6 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=65.1 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=63.8 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=68.5 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=50.3 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=49.1 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=48.0 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=59.3 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=64.2 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=70.5 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=50.3 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=77.0 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=72.9 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=59.1 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=58.3 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=66.7 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=52.0 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=63.6 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=62.4 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=53.6 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=64.2 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=68.5 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=51.9 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=63.5 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=62.5 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=61.1 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=60.6 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=59.4 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=58.9 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=66.8 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=65.8 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=64.7 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=63.7 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=62.4 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=73.6 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=60.0 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=60.8 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=58.3 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=69.6 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=68.0 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=55.6 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=66.1 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=63.4 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=60.5 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=68.0 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=65.4 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=66.5 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=77.2 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=56.5 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=54.9 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=51.7 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=67.7 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=64.6 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=62.2 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=70.5 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=72.3 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=68.2 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=64.8 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=66.3 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=67.0 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=62.1 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=61.0 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=65.5 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=57.6 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=57.0 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=61.5 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=60.2 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=59.1 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=75.8 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=67.5 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=61.9 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=61.2 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=66.4 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=69.2 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=68.3 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=25.9 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=32.0 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=54.2 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=67.8 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=64.7 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=57.1 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=68.4 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=79.4 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=96.6 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=83.2 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=87.2 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=99.1 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=86.5 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=87.5 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=98.1 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=85.0 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=96.8 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=95.6 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=80.0 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=99.0 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=98.5 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=84.9 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=83.4 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=81.5 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=76.9 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=81.8 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=80.3 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=82.8 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=85.9 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=97.4 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=79.2 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=85.5 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=81.0 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=92.2 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=81.4 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=98.7 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=78.0 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=89.5 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=87.7 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=98.3 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=86.6 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=96.5 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=74.2 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=79.5 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=88.9 ms
