PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=873 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=884 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=902 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=913 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=822 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=703 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=653 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=516 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=466 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=461 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=464 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=450 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=449 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=468 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=521 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=520 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=559 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=560 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=538 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=494 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=431 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=425 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=412 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=407 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=423 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=420 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=425 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=427 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=424 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=431 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=414 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=420 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=445 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=439 ms
