PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=1138 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=1128 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=1103 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=1188 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=1009 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=950 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=900 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=794 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=728 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=687 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=660 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=662 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=661 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=650 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=655 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=664 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=685 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=689 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=741 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=734 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=739 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=707 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=723 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=676 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=617 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=563 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=562 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=560 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=557 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=623 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=622 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=629 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=616 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=661 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=703 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=681 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=699 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=698 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=688 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=698 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=769 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=824 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=819 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=829 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=820 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=820 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=856 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=944 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=924 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=909 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=900 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=910 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=910 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=868 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=660 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=583 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=586 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=599 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=587 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=567 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=588 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=570 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=590 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=583 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=589 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=593 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=580 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=592 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=580 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=590 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=590 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=605 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=610 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=609 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=600 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=600 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=608 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=600 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=597 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=598 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=600 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=602 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=590 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=603 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=623 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=609 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=617 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=614 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=618 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=619 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=612 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=600 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=630 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=622 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=634 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=622 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=626 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=623 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=620 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=617 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=624 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=630 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=629 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=645 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=693 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=693 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=700 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=690 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=695 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=689 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=749 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=776 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=847 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=900 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=906 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=900 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=899 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=924 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=1012 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=991 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=994 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=1000 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=988 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=989 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=979 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=998 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=944 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=837 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=728 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=665 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=679 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=654 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=668 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=666 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=679 ms
